name,institution,course_url,course_id,avg_rating,n_reviews,popularity_score,popularity_norm
Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),Hebrew University of Jerusalem,https://www.coursera.org/learn/nand2tetris2,nand2tetris2,4.956989247311828,279.0,27.93159147377445,0.553043054040307
The Global Financial Crisis,Yale University,https://www.coursera.org/learn/global-financial-crisis,global-financial-crisis,4.828985507246377,1035.0,33.528237554832366,0.6638561541086335
Agile и Scrum в работе над проектами и продуктами,E-Learning Development Fund,https://www.coursera.org/learn/upravleniya-proektami-agile-scrum,upravleniya-proektami-agile-scrum,4.727272727272728,132.0,23.11801406068465,0.45773464471124536
Renewable Energy and Green Building Entrepreneurship,Duke University,https://www.coursera.org/learn/renewable-energy-entrepreneurship,renewable-energy-entrepreneurship,4.752203721841332,1021.0,32.930475388584945,0.6520205158020366
The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",https://www.coursera.org/learn/the-cycle,the-cycle,4.861111111111111,324.0,28.115816858547333,0.556690700452514
Privacy Law and Data Protection,University of Pennsylvania,https://www.coursera.org/learn/privacy-law-data-protection,privacy-law-data-protection,4.837209302325581,172.0,24.92755003850089,0.4935632978872354
Building Modern Python Applications on AWS,Amazon Web Services,https://www.coursera.org/learn/building-modern-python-applications-on-aws,building-modern-python-applications-on-aws,5.0,3.0,6.931471805599453,0.13724253198971006
Digital Business Models,Lund University,https://www.coursera.org/learn/digital-business-models,digital-business-models,4.587859424920127,313.0,26.37740679796885,0.5222703341808889
"Everyday Excel, Part 2",University of Colorado Boulder,https://www.coursera.org/learn/everyday-excel-part-2,everyday-excel-part-2,4.95,120.0,23.73916320070387,0.47003334304117333
Reliable Google Cloud Infrastructure: Design and Process,Google Cloud,https://www.coursera.org/learn/cloud-infrastructure-design-process,cloud-infrastructure-design-process,4.699436443331246,1597.0,34.665431113386525,0.6863724865291567
Introduction to Computer Programming,University of London,https://www.coursera.org/learn/introduction-to-computer-programming,introduction-to-computer-programming,3.920289855072464,414.0,23.632599126411648,0.46792338374462256
"Big Data Essentials: HDFS, MapReduce and Spark RDD",Yandex,https://www.coursera.org/learn/big-data-essentials,big-data-essentials,3.424137931034483,290.0,19.426241394142387,0.3846378706787287
Social Impact Strategy: Tools for Entrepreneurs and Innovators,University of Pennsylvania,https://www.coursera.org/learn/social-impact,social-impact,4.850515463917525,582.0,30.8889904245145,0.6115992931027516
C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",https://www.coursera.org/learn/c-for-everyone,c-for-everyone,4.573684210526316,2280.0,35.36541502192175,0.7002321063406117
